run_id,world,start_pose,target,expected_station,station_type,repeat,run_timestamp,controller_hash,outcome,completion_time_s,over_budget_240s,final_distance_to_observe_m,station_chosen,station_match_expected,stations_inspected_count,collision_flag,max_proximity_reading,intervention_free,void_reason
1,A,A,soda_can,S1,boundary,1,20260917T103956Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,140.32,NO,0.097,S1,YES,7,NO,80.2,YES,
2,A,A,soda_can,S1,boundary,2,20260917T104150Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,140.32,NO,0.097,S1,YES,7,NO,80.2,YES,
3,A,A,coffee_mug,S2,interior,1,20260917T104609Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,32.42,NO,0.099,S2,YES,2,NO,80.2,YES,
4,A,A,backpack,S3,boundary,1,20260917T104813Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,111.10,NO,0.098,S3,YES,6,NO,80.2,YES,
5,A,A,fire_extinguisher,S4,interior,1,20260917T105007Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,69.18,NO,0.092,S4,YES,4,NO,80.2,YES,
6,A,A,camera,S5,boundary,1,20260917T105134Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,92.54,NO,0.099,S5,YES,5,NO,80.2,YES,
7,A,A,running_shoe,S6,interior,1,20260917T105334Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,55.55,NO,0.098,S6,YES,3,NO,80.2,YES,
8,A,A,headphones,S7,boundary,1,20260917T105502Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,180.93,NO,0.098,S7,YES,8,NO,80.2,YES,
9,A,A,wall_clock,S8,interior,1,20260917T105636Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,21.73,NO,0.097,S8,YES,1,NO,80.2,YES,
10,B,B,soda_can,S1,boundary,1,20260917T105814Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,172.74,NO,0.097,S1,YES,8,NO,80.2,YES,
11,B,B,coffee_mug,S2,interior,1,20260917T105953Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,64.90,NO,0.099,S2,YES,3,NO,80.2,YES,
12,B,B,backpack,S3,boundary,1,20260917T110124Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,143.52,NO,0.098,S3,YES,7,NO,80.2,YES,
13,B,B,fire_extinguisher,S4,interior,1,20260917T110403Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,101.60,NO,0.092,S4,YES,5,NO,80.2,YES,
14,B,B,camera,S5,boundary,1,20260917T110520Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,124.96,NO,0.099,S5,YES,6,NO,80.2,YES,
15,B,B,running_shoe,S6,interior,1,20260917T110624Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,87.97,NO,0.098,S6,YES,4,NO,80.2,YES,
16,B,B,headphones,S7,boundary,1,20260917T110731Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,19.52,NO,0.020,S7,YES,1,NO,80.2,YES,
17,B,B,wall_clock,S8,interior,1,20260917T110731Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,53.25,NO,0.099,S8,YES,2,NO,80.2,YES,
18,C,C,soda_can,S1,boundary,1,20260917T111001Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,167.04,NO,0.097,S1,YES,8,NO,80.2,YES,
19,C,C,coffee_mug,S2,interior,1,20260917T111107Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,91.84,NO,0.098,S2,YES,5,NO,80.2,YES,
20,C,C,backpack,S3,boundary,1,20260917T111208Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,8.58,NO,0.098,S3,YES,1,NO,80.2,YES,
21,C,C,fire_extinguisher,S4,interior,1,20260917T111314Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,59.84,NO,0.090,S4,YES,4,NO,80.2,YES,
22,C,C,camera,S5,boundary,1,20260917T111418Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,26.50,NO,0.097,S5,YES,2,NO,80.2,YES,
23,C,C,running_shoe,S6,interior,1,20260917T111533Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,47.01,NO,0.098,S6,YES,3,NO,80.2,YES,
24,C,C,headphones,S7,boundary,1,20260917T111647Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,122.72,NO,0.099,S7,YES,7,NO,80.2,YES,
25,C,C,wall_clock,S8,interior,1,20260917T111647Z,c2757b9b045cccaa7e2ecad8823e52628d3428b7615fe34a1508385d7465e701,SUCCESS,103.71,NO,0.098,S8,YES,6,NO,80.2,YES,
